;indice;acertos;erros
0;PX0001M;7000;702
1;PX0003M;7000;702
2;PX0006M;7000;702
3;PX0012M;7000;702
4;BALB03M;3569;4133
5;ESP001M;3090;4612
6;ESP003M;3090;4612
7;ESP006M;3090;4612
8;ESP012M;3090;4612
9;NY0001M;7013;689
10;NY0003M;7013;689
11;NY0006M;7013;689
12;NY0012M;7013;689
13;TAB3M;6993;709
14;CORN3M;3347;4355
15;CORN6M;3348;4354
16;PORB3M;4201;3501
17;FS0003M;6999;703
18;FS0006M;6998;704
19;SOLK1M;6987;715
20;SOLK3M;6987;715
21;SOLK6M;6987;715
22;YY0003M;7013;689
23;YY0006M;7013;689
24;PIB3M;3183;4519
25;DIDA01M;5973;1729
26;DIDA03M;5972;1730
27;DIDA06M;5958;1744
28;PORK01;6947;755
29;PORK03;6974;728
30;BURP03M;7274;428
31;BURP06M;6615;1087
32;DETL01;7092;610
33;PONYA;3091;4611
34;PONYO/N;3865;3837
35;KEEPCALM;7081;621
36;TOLSTOY;3696;4006
37;CORAL;7199;503
38;HFXX1T;4413;3289
39;SAXX1T;6073;1629
